station,block_no,year,max_24h_mm,date,raw_value,statistical_break,usable,value_classes,row_classes,row_html
香取,0375,1976,72.0,9/28 19:00,72 ],False,False,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1976&amp;month=&amp;day=&amp;view=a5"">1976</a></div></td><td class=""data_0_0"">30 ]</td><td class=""data_0_0""> 9/08 04:00</td><td class=""data_0_0"">47</td><td class=""data_0_0""> 9/08 04:00</td><td class=""data_0_0"">49</td><td class=""data_0_0""> 9/08 07:00</td><td class=""data_0_0"">54</td><td class=""data_0_0""> 5/27 10:00</td><td class=""data_0_0"">72 ]</td><td class=""data_0_0""> 9/28 19:00</td><td class=""data_0_0"">73 ]</td><td class=""data_0_0""> 9/29 19:00</td><td class=""data_0_0"">75 ]</td><td class=""data_0_0""> 5/28 06:00</td></tr>"
香取,0375,1977,176.0,9/20 03:00,176,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1977&amp;month=&amp;day=&amp;view=a5"">1977</a></div></td><td class=""data_0_0"">31</td><td class=""data_0_0""> 9/19 19:00</td><td class=""data_0_0"">64</td><td class=""data_0_0""> 9/19 21:00</td><td class=""data_0_0"">91</td><td class=""data_0_0""> 9/19 23:00</td><td class=""data_0_0"">114</td><td class=""data_0_0""> 9/19 21:00</td><td class=""data_0_0"">176</td><td class=""data_0_0""> 9/20 03:00</td><td class=""data_0_0"">177</td><td class=""data_0_0""> 9/20 18:00</td><td class=""data_0_0"">177</td><td class=""data_0_0""> 9/21 18:00</td></tr>"
香取,0375,1978,61.0,4/03 19:00,61,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1978&amp;month=&amp;day=&amp;view=a5"">1978</a></div></td><td class=""data_0_0"">26</td><td class=""data_0_0""> 8/07 15:00</td><td class=""data_0_0"">34</td><td class=""data_0_0""> 8/07 17:00</td><td class=""data_0_0"">47</td><td class=""data_0_0""> 5/19 09:00</td><td class=""data_0_0"">54</td><td class=""data_0_0""> 4/03 13:00</td><td class=""data_0_0"">61</td><td class=""data_0_0""> 4/03 19:00</td><td class=""data_0_0"">61 ]</td><td class=""data_0_0""> 4/04 19:00</td><td class=""data_0_0"">61 ]</td><td class=""data_0_0""> 4/05 19:00</td></tr>"
香取,0375,1979,89.0,10/07 15:00,89,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1979&amp;month=&amp;day=&amp;view=a5"">1979</a></div></td><td class=""data_0_0"">27 ]</td><td class=""data_0_0""> 9/04 15:00</td><td class=""data_0_0"">50</td><td class=""data_0_0"">11/29 01:00</td><td class=""data_0_0"">56</td><td class=""data_0_0"">11/29 03:00</td><td class=""data_0_0"">73</td><td class=""data_0_0"">10/07 15:00</td><td class=""data_0_0"">89</td><td class=""data_0_0"">10/07 15:00</td><td class=""data_0_0"">101</td><td class=""data_0_0"">10/08 01:00</td><td class=""data_0_0"">101</td><td class=""data_0_0"">10/09 01:00</td></tr>"
香取,0375,1980,76.0,8/03 12:00,76,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1980&amp;month=&amp;day=&amp;view=a5"">1980</a></div></td><td class=""data_0_0"">15</td><td class=""data_0_0""> 6/29 19:00</td><td class=""data_0_0"">26</td><td class=""data_0_0""> 7/08 11:00</td><td class=""data_0_0"">42</td><td class=""data_0_0""> 8/03 11:00</td><td class=""data_0_0"">57</td><td class=""data_0_0""> 8/03 12:00</td><td class=""data_0_0"">76</td><td class=""data_0_0""> 8/03 12:00</td><td class=""data_0_0"">85 ]</td><td class=""data_0_0""> 8/04 12:00</td><td class=""data_0_0"">85</td><td class=""data_0_0""> 8/05 12:00</td></tr>"
香取,0375,1981,135.0,10/23 07:00,135,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1981&amp;month=&amp;day=&amp;view=a5"">1981</a></div></td><td class=""data_0_0"">24</td><td class=""data_0_0"">10/22 22:00</td><td class=""data_0_0"">48</td><td class=""data_0_0"">10/22 23:00</td><td class=""data_0_0"">83</td><td class=""data_0_0"">10/23 01:00</td><td class=""data_0_0"">120</td><td class=""data_0_0"">10/23 02:00</td><td class=""data_0_0"">135</td><td class=""data_0_0"">10/23 07:00</td><td class=""data_0_0"">135</td><td class=""data_0_0"">10/24 07:00</td><td class=""data_0_0"">135</td><td class=""data_0_0"">10/25 07:00</td></tr>"
香取,0375,1982,123.0,9/12 19:00,123,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1982&amp;month=&amp;day=&amp;view=a5"">1982</a></div></td><td class=""data_0_0"">37</td><td class=""data_0_0""> 9/25 15:00</td><td class=""data_0_0"">54</td><td class=""data_0_0""> 9/25 17:00</td><td class=""data_0_0"">68</td><td class=""data_0_0""> 9/12 17:00</td><td class=""data_0_0"">96</td><td class=""data_0_0""> 9/12 20:00</td><td class=""data_0_0"">123</td><td class=""data_0_0""> 9/12 19:00</td><td class=""data_0_0"">178</td><td class=""data_0_0""> 9/12 18:00</td><td class=""data_0_0"">188</td><td class=""data_0_0""> 9/13 12:00</td></tr>"
香取,0375,1983,83.0,6/21 16:00,83,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1983&amp;month=&amp;day=&amp;view=a5"">1983</a></div></td><td class=""data_0_0"">40</td><td class=""data_0_0""> 9/01 12:00</td><td class=""data_0_0"">54</td><td class=""data_0_0""> 9/01 14:00</td><td class=""data_0_0"">54</td><td class=""data_0_0""> 9/01 17:00</td><td class=""data_0_0"">73</td><td class=""data_0_0""> 6/21 09:00</td><td class=""data_0_0"">83</td><td class=""data_0_0""> 6/21 16:00</td><td class=""data_0_0"">83</td><td class=""data_0_0""> 6/22 16:00</td><td class=""data_0_0"">113</td><td class=""data_0_0""> 8/18 04:00</td></tr>"
香取,0375,1984,101.0,6/23 17:00,101,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1984&amp;month=&amp;day=&amp;view=a5"">1984</a></div></td><td class=""data_0_0"">12</td><td class=""data_0_0""> 6/23 06:00</td><td class=""data_0_0"">35</td><td class=""data_0_0""> 6/23 06:00</td><td class=""data_0_0"">63</td><td class=""data_0_0""> 6/23 08:00</td><td class=""data_0_0"">96</td><td class=""data_0_0""> 6/23 11:00</td><td class=""data_0_0"">101</td><td class=""data_0_0""> 6/23 17:00</td><td class=""data_0_0"">101</td><td class=""data_0_0""> 6/24 17:00</td><td class=""data_0_0"">104</td><td class=""data_0_0""> 6/25 17:00</td></tr>"
香取,0375,1985,111.0,7/01 06:00,111,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1985&amp;month=&amp;day=&amp;view=a5"">1985</a></div></td><td class=""data_0_0"">23</td><td class=""data_0_0""> 4/23 10:00</td><td class=""data_0_0"">41</td><td class=""data_0_0""> 4/23 10:00</td><td class=""data_0_0"">53</td><td class=""data_0_0""> 6/30 15:00</td><td class=""data_0_0"">81</td><td class=""data_0_0""> 6/30 16:00</td><td class=""data_0_0"">111</td><td class=""data_0_0""> 7/01 06:00</td><td class=""data_0_0"">134</td><td class=""data_0_0""> 7/01 23:00</td><td class=""data_0_0"">161</td><td class=""data_0_0""> 7/01 06:00</td></tr>"
