event,station,block_no,station_latitude,station_longitude,amedas_24h_mm,amedas_day,amedas_end_time_jst,amedas_raw_value,amedas_quality,amedas_window_status,amedas_return_period_1976_2014_years,amedas_n_years_1976_2014,amedas_return_period_2006_2025_years,amedas_n_years_2006_2025,grid_latitude,grid_longitude,grid_distance_km,grid_rainfall_mm,grid_return_period_years,grid_status
2026-08-13_2026-08-15,東庄,0377,35.795,140.68166666666667,34.0,13,///,34.0,numeric,end_time_unknown,1.00102188928489,39,1.006029212702694,20,35.79583406075835,140.68125033797696,0.10005647880191315,32.0,1.0040340423583984,ok
2026-08-13_2026-08-15,銚子,47648,35.73833333333333,140.85666666666665,42.5,14,24:00,42.5,numeric,within_event,1.0017112601095275,39,1.0074229507740449,20,35.73750073090196,140.85625034058467,0.09991631110648397,50.400001525878906,1.0022128820419312,ok
2026-08-13_2026-08-15,千葉,47682,35.60166666666667,140.10333333333332,367.0,14,10:00,367.0,numeric,within_event,298.6021279805594,39,118.59674795468158,20,35.60416740551591,140.1062503294088,0.3832405114627682,391.0,111.80030822753906,ok
2026-08-13_2026-08-15,茂原,0381,35.43666666666667,140.29333333333332,247.5,14,03:30,247.5,numeric,within_event,16.493564467448987,39,11.03609066143676,20,35.43750074878335,140.29375033220276,0.10014496398455075,243.60000610351562,10.025856971740723,ok
2026-08-13_2026-08-15,鋸南,0383,35.12166666666667,139.83666666666667,117.5,14,///,117.5,numeric,within_event,1.3474009915149123,39,1.532302049882573,20,35.12083410099149,139.83125032531098,0.5012424479390606,152.89999389648438,2.017827033996582,ok
2026-08-13_2026-08-15,鴨川,0384,35.111666666666665,140.1,80.5,13,05:40,80.5,numeric,crosses_event_boundary,1.0534526442359944,39,1.0144804706568387,20,35.11250076815486,140.09375032922253,0.575990995189497,70.69999694824219,1.000008225440979,ok
2026-08-13_2026-08-15,勝浦,47674,35.15,140.31166666666667,101.5,14,03:20,101.5,numeric,within_event,1.0820521056619294,39,1.072943009711947,20,35.14583409950137,140.30625033238903,0.6760870909283362,81.0999984741211,1.0075520277023315,ok
2026-08-13_2026-08-15,館山,47672,34.986666666666665,139.865,211.0,14,09:20,211.0,numeric,within_event,7.262535528103871,39,6.314483916679378,20,34.98750077560544,139.86875032586977,0.3540203411490006,220.8000030517578,6.737451076507568,ok
2026-08-13_2026-08-15,佐倉,0916,35.72833333333333,140.21166666666667,274.5,14,16:40,274.5,numeric,within_event,39.3698917786764,39,22.60428918156526,20,35.72916739806533,140.2062503308989,0.4976357138925862,333.70001220703125,33.34596633911133,ok
2026-08-13_2026-08-15,横芝光,1003,35.655,140.505,82.5,14,05:00,82.5,numeric,within_event,1.231475512332615,39,1.2120668168089475,20,35.65416740253568,140.50625033536926,0.1460589878691941,101.5999984741211,1.6130703687667847,ok
2026-08-13_2026-08-15,大多喜,1004,35.251666666666665,140.215,211.5,14,///,211.5,numeric,within_event,3.324104626449462,39,3.4195758171469417,20,35.254167426377535,140.21875033108518,0.4396511970080059,198.89999389648438,2.465845823287964,ok
2026-08-13_2026-08-15,牛久,1238,35.39666666666667,140.14833333333334,233.0,14,04:00,233.0,numeric,within_event,9.398634084187858,37,8.183555343386766,20,35.39583408460021,140.1437503299676,0.4256055462612773,229.0,5.542004585266113,ok
2026-08-13_2026-08-15,坂畑,1241,35.235,140.09833333333333,149.0,14,04:30,149.0,numeric,within_event,1.7342302255683792,37,1.6830090562793942,20,35.23750076070428,140.09375032922253,0.5005773022514601,157.89999389648438,1.679628849029541,ok
2026-09-19_2026-09-22,東庄,0377,35.795,140.68166666666667,225.5,21,///,225.5,numeric,within_event,16.045858940569786,39,20.803804089479453,20,35.79583406075835,140.68125033797696,0.10005647880191315,234.39999389648438,47.98725128173828,ok
2026-09-19_2026-09-22,銚子,47648,35.73833333333333,140.85666666666665,177.5,21,22:50,177.5,numeric,within_event,4.805251978990078,39,5.008620990479054,20,35.73750073090196,140.85625034058467,0.09991631110648397,192.89999389648438,5.6986284255981445,ok
2026-09-19_2026-09-22,千葉,47682,35.60166666666667,140.10333333333332,352.5,21,20:30,352.5,numeric,within_event,222.09221994608063,39,97.75725821752282,20,35.60416740551591,140.1062503294088,0.3832405114627682,368.20001220703125,82.63693237304688,ok
2026-09-19_2026-09-22,茂原,0381,35.43666666666667,140.29333333333332,369.5,21,20:50,369.5,numeric,within_event,348.3810707691014,39,38.09110836304939,20,35.43750074878335,140.29375033220276,0.10014496398455075,380.20001220703125,36.07191467285156,ok
2026-09-19_2026-09-22,鋸南,0383,35.12166666666667,139.83666666666667,331.5,21,///,331.5,numeric,within_event,20.803292889776362,39,40.219291888208716,20,35.12083410099149,139.83125032531098,0.5012424479390606,362.0,45.77669143676758,ok
2026-09-19_2026-09-22,鴨川,0384,35.111666666666665,140.1,272.5,21,20:10,272.5 ],insufficient_data_mark,within_event,22.1268946562337,39,14.735436688327438,20,35.11250076815486,140.09375032922253,0.575990995189497,315.0,21.200416564941406,ok
2026-09-19_2026-09-22,勝浦,47674,35.15,140.31166666666667,230.0,21,19:30,230.0,numeric,within_event,5.867211572954425,39,5.6954014252686465,20,35.14583409950137,140.30625033238903,0.6760870909283362,227.6999969482422,5.905148029327393,ok
2026-09-19_2026-09-22,館山,47672,34.986666666666665,139.865,331.0,21,19:00,331.0,numeric,within_event,61.33861665491518,39,48.568375367149024,20,34.98750077560544,139.86875032586977,0.3540203411490006,338.5,50.89189147949219,ok
2026-09-19_2026-09-22,佐倉,0916,35.72833333333333,140.21166666666667,322.0,21,20:20,322.0,numeric,within_event,97.17739372766967,39,39.18703483554528,20,35.72916739806533,140.2062503308989,0.4976357138925862,341.70001220703125,36.26088333129883,ok
