station,block_no,start_year,end_year,n_years,eligible,window_basis,event_24h_mm,historical_max_mm,shape_xi,location,scale,return_period_years,ci_low,ci_median,ci_high,bootstrap_valid,bootstrap_infinite,bootstrap_failures
東庄,0377,1976,2014,39,True,inferred_from_article_not_confirmed_by_source_description,34.0,277.0,0.07339808581311824,105.2120159072401,39.57912601456145,1.0010218892848899,,,,,,
銚子,47648,1976,2014,39,True,inferred_from_article_not_confirmed_by_source_description,42.5,289.0,0.0960665933478915,112.78830829680788,41.429905187651784,1.0017112601095275,,,,,,
千葉,47682,1976,2014,39,True,inferred_from_article_not_confirmed_by_source_description,367.0,309.0,0.02901030967976213,109.1605413073008,41.61833519871248,298.6021279805594,60.10473785394712,351.27255480779326,inf,2000.0,202.0,0.0
茂原,0381,1976,2014,39,True,inferred_from_article_not_confirmed_by_source_description,247.5,272.0,-0.044554344670048984,122.43618070003792,47.96248806396912,16.493564467448987,9.411701358023373,17.184145011824125,62.20662481841216,2000.0,2.0,0.0
鋸南,0383,1976,2014,39,True,inferred_from_article_not_confirmed_by_source_description,117.5,431.0,0.20834712930707502,131.57039519448386,47.74477011707662,1.3474009915149123,,,,,,
鴨川,0384,1976,2014,39,True,inferred_from_article_not_confirmed_by_source_description,80.5,355.0,0.04049853216610289,127.74959856780072,44.2220062948747,1.0534526442359944,,,,,,
勝浦,47674,1976,2014,39,True,inferred_from_article_not_confirmed_by_source_description,101.5,338.0,0.08949989075349918,144.4439144710396,47.27216434571943,1.0820521056619294,,,,,,
館山,47672,1976,2014,39,True,inferred_from_article_not_confirmed_by_source_description,211.0,321.5,0.12432592851934715,130.32782618996492,37.42964112476988,7.2625355281038715,,,,,,
佐倉,0916,1976,2014,39,True,inferred_from_article_not_confirmed_by_source_description,274.5,301.5,0.042852503948962804,101.33614879510723,43.697095791492295,39.369891778676404,18.474235633242454,45.17275583754167,688.0243540039559,2000.0,21.0,0.0
横芝光,1003,1976,2014,39,True,inferred_from_article_not_confirmed_by_source_description,82.5,267.0,0.01677911558761093,104.09681078397323,42.22165585942344,1.231475512332615,,,,,,
大多喜,1004,1976,2014,39,True,inferred_from_article_not_confirmed_by_source_description,211.5,365.0,0.020368408001425618,152.37819986538386,56.93396505813003,3.324104626449462,,,,,,
牛久,1238,1978,2014,37,True,inferred_from_article_not_confirmed_by_source_description,233.0,321.0,0.020267313156138587,125.90240341794646,47.94113781228764,9.398634084187858,5.392560958831111,9.880967254840906,27.92147794676981,2000.0,2.0,0.0
坂畑,1241,1978,2014,37,True,inferred_from_article_not_confirmed_by_source_description,149.0,374.0,0.1754626811942678,142.16927605128652,44.51783547140912,1.7342302255683792,,,,,,
