station,block_no,kind,start_year,end_year,n_years,span_years,eligible,day,event_24h_mm,ending_time,raw_value,historical_max_mm,historical_exceedances,shape_xi,location,scale,aic,return_period_years,return_period_including_2026,ci_low,ci_median,ci_high,bootstrap_valid,bootstrap_infinite,bootstrap_failures
香取,0375,a,2000,2025,26,26,False,14,25.0,15:20,25.0,,,,,,,,,,,,,,
我孫子,0376,a,2011,2025,15,15,False,14,213.0,10:20,213.0,,,,,,,,,,,,,,
東庄,0377,a,1979,2025,42,47,True,13,34.0,///,34.0,277.0,42.0,0.1775085502667776,105.78180395531616,34.8908198210239,445.6558415228182,1.000002407987217,1.0038823973452262,1.0,1.0000001516828587,1.0043425318937507,2000.0,0.0,0.0
成田,0378,a,1976,2025,22,50,False,14,65.0,09:10,65.0,,,,,,,,,,,,,,
銚子,47648,s,1976,2025,50,50,True,14,42.5,24:00,42.5,289.0,50.0,0.14320625679056884,108.55622588895699,38.25754257629117,536.854381873132,1.0006982716070962,1.0065607843286108,1.0,1.0001050191168182,1.0328270976723914,2000.0,0.0,0.0
千葉,47682,s,1976,2025,48,50,True,14,367.0,10:00,367.0,309.0,0.0,0.018210048678720947,110.9994991299884,39.92398606246998,512.6459636826202,430.86813935775587,119.00175580024823,3.048975369043414,305.102311688216,inf,2000.0,206.0,0.0
茂原,0381,a,1976,2025,45,50,True,14,247.5,03:30,247.5,392.0,5.0,0.2715971171212299,119.30593400074119,36.16040534646039,484.8786924408398,12.485119659003082,11.64634425482251,2.719005154562777,11.617419821450797,39.74618753265143,2000.0,0.0,0.0
木更津,0382,a,2007,2025,18,19,False,14,121.0,04:50,121.0,,,,,,,,,,,,,,
鋸南,0383,a,1976,2025,42,50,True,14,117.5,///,117.5,431.0,30.0,0.24727350976911766,125.01417765719683,42.083966590719236,464.6161744780693,1.43079659206941,1.4397109226971816,1.228445581925383,1.4751879443800564,3.4150213223647676,2000.0,0.0,0.0
鴨川,0384,a,1977,2025,47,49,True,13,80.5,05:40,80.5,355.0,44.0,0.17336827124087864,123.50561443716171,39.46633602437569,509.2341969757283,1.036514723254057,1.0434139641668108,1.0056116746817934,1.0357096320660177,1.7497565613383013,2000.0,0.0,0.0
勝浦,47674,s,1976,2025,49,50,True,14,101.5,03:20,101.5,338.0,47.0,0.09638710434861306,142.27680011797725,44.219241410103194,537.6922608808161,1.0779525578836893,1.0843096220845845,1.0,1.0794040450302365,2.997725817984569,2000.0,0.0,0.0
館山,47672,s,1976,2025,48,50,True,14,211.0,09:20,211.0,321.5,6.0,0.0977962509290104,129.55691046721086,37.45237134317095,510.8914419268258,7.694181275786965,7.4210498815478445,2.6444111679803157,7.728801262970752,17.973069488601734,2000.0,0.0,0.0
佐倉,0916,a,1976,2025,47,50,True,14,274.5,16:40,274.5,301.5,1.0,0.15120384885590182,101.21001619593181,38.82853748350022,506.77080956169567,30.787636951610708,25.205111958984933,2.39280055437754,28.772734514239566,178.29148177295517,2000.0,6.0,0.0
横芝光,1003,a,1976,2025,43,50,True,14,82.5,05:00,82.5,274.5,34.0,0.16058745867216667,100.56671686774429,36.06624603342466,458.1782081684153,1.2274446968715278,1.2369542555099229,1.107106966952488,1.2314919035841996,2.609580111866237,2000.0,0.0,0.0
大多喜,1004,a,1977,2025,45,49,True,14,211.5,///,211.5,365.0,15.0,0.0352226736339694,157.9906627794596,55.29039542390632,511.4692336992583,3.122095024638721,3.080488085062508,1.98790322380061,3.288186800484845,5.08601191193744,2000.0,0.0,0.0
船橋,1236,a,2000,2025,26,26,False,14,210.0,06:40,210.0,,,,,,,,,,,,,,
牛久,1238,a,1981,2025,42,45,True,14,233.0,04:00,233.0,321.0,7.0,0.12339717023856789,130.99422563069913,44.18784598612166,463.0784270971613,8.134355339928895,7.827006476251365,2.221480704913305,7.4635978793001705,16.937079665812945,2000.0,0.0,0.0
坂畑,1241,a,1979,2025,43,47,True,14,149.0,04:30,149.0,374.0,24.0,0.34555012777822025,142.03313846356065,37.91864729818292,471.21844920524364,1.7639218970882624,1.7667872015233368,1.4373615746985018,1.8996684261815786,3.832632510455653,2000.0,0.0,0.0
